District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Muzaffargarh,2019-20,bajra,21000.0,17000.0,0.8095,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2020-21,bajra,2952.0,2679.0,0.9075,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2021-22,bajra,1457.0,2761.0,1.895,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2022-23,bajra,1276.0,1996.0,1.5643,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2023-24,bajra,830.0,1513.0,1.8229,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2024-25,bajra,129.0,369.0,2.8605,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2017-18,bajra,1900.0,1500.0,0.7895,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2018-19,bajra,2000.0,1600.0,0.8,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2019-20,bajra,970.0,800.0,0.8247,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Nankana Sahib,2020-21,bajra,454.0,410.0,0.9031,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2017-18,bajra,23500.0,18900.0,0.8043,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2018-19,bajra,23100.0,19400.0,0.8398,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2019-20,bajra,23180.0,19300.0,0.8326,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2020-21,bajra,7662.0,6678.0,0.8716,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2021-22,bajra,5378.0,9056.0,1.6839,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2022-23,bajra,12537.0,27163.0,2.1666,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2023-24,bajra,8800.0,19719.0,2.2408,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Narowal,2024-25,bajra,12627.0,27746.0,2.1974,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2017-18,bajra,1200.0,1000.0,0.8333,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2018-19,bajra,1000.0,1500.0,1.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2019-20,bajra,1060.0,2000.0,1.8868,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Okara,2020-21,bajra,47.0,89.0,1.8936,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2017-18,bajra,1600.0,1200.0,0.75,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2018-19,bajra,1200.0,1800.0,1.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2019-20,bajra,1390.0,2600.0,1.8705,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2020-21,bajra,601.0,1158.0,1.9268,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Pakpattan,2021-22,bajra,11.0,15.0,1.3636,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2017-18,bajra,900.0,900.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2018-19,bajra,1000.0,1100.0,1.1,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2019-20,bajra,810.0,800.0,0.9877,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rahim Yar Khan,2020-21,bajra,202.0,226.0,1.1188,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2017-18,bajra,1400.0,600.0,0.4286,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2018-19,bajra,1200.0,700.0,0.5833,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2019-20,bajra,1080.0,1200.0,1.1111,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2020-21,bajra,114.0,141.0,1.2368,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2022-23,bajra,492.0,243.0,0.4939,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2023-24,bajra,5744.0,6003.0,1.0451,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rajanpur,2024-25,bajra,4249.0,4338.0,1.0209,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2017-18,bajra,13300.0,4100.0,0.3083,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2018-19,bajra,12200.0,4200.0,0.3443,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2019-20,bajra,12260.0,4200.0,0.3426,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Rawalpindi,2020-21,bajra,5185.0,3365.0,0.649,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
